"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115118569",45.4735568820495,0.0427373233098214,0.116883432025136,0.621649130337687,0.816121742664122,"WD repeat-containing protein 20-like, transcript variant X2","gonad"
"LOC115134606",24.5207097001208,0.0426973262079125,0.129919059709167,0.631859488195203,0.823147995528531,"CTD nuclear envelope phosphatase 1A-like, transcript variant X1","gonad"
"LOC115138454",47.7684849192995,0.0426948391329035,0.092020347734203,0.578721465043075,0.788557329690451,"RAC-alpha serine/threonine-protein kinase-like, transcript variant X2","gonad"
"LOCNA.2576",10.6196870466032,0.0426136220736034,0.143553364098294,0.635830073595335,0.825724990985208,NA,"gonad"
"LOC115125188",33.1821061537974,0.04259521104727,0.120602644354804,0.626372002974134,0.819934592209832,"tyrosyl-DNA phosphodiesterase 2-like","gonad"
"LOC115105723",10.9029045132835,0.0425882118633099,0.134064353806081,0.634418033916103,0.824765222945513,"connector enhancer of kinase suppressor of ras 2-like, transcript variant X1","gonad"
"LOC115110039",252.746893867058,0.0425057073866826,0.087954217928478,0.569391153834053,0.781942377273556,"major vault protein, transcript variant X3","gonad"
"LOC115129400",274.63316052802,0.0424937485120077,0.0667369504500534,0.485258790829249,0.72370322619814,"transmembrane 9 superfamily member 2-like, transcript variant X1","gonad"
"LOC115135454",107.536552254394,0.0424906443956042,0.0970713773377709,0.59244716703702,0.797411651112167,"steroid receptor RNA activator 1-like","gonad"
"LOCNA.1155",72.4598384504286,0.0424588641106176,0.0940506310503643,0.58583018988136,0.792677130581959,NA,"gonad"
"LOC115132331",40.4155760486355,0.0424541730627446,0.107787055311643,0.612390024919742,0.810938186016876,"gamma-tubulin complex component 3 homolog","gonad"
"LOC115128581",142.113751602361,0.0424487250414357,0.106511177764195,0.610461885243527,0.809744013806387,"serine/threonine-protein phosphatase 1 regulatory subunit 10-like, transcript variant X2","gonad"
"LOC115136911",40.9151899825559,0.0424464238479074,0.110148718101182,0.615870061747526,0.812704691559649,"huntingtin-interacting protein 1-like, transcript variant X3","gonad"
