"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description","treatment"
"LOCNA.2536",49.9966210957789,-0.0106924704226068,0.130248180625048,-0.0821079741248909,0.934560852103175,0.975310690747106,NA,"gonad"
"LOC115102669",44.3375625413839,-0.0107079061233325,0.133009390409375,-0.0805281113359425,0.935817239217798,0.975893010409027,"probable E3 ubiquitin-protein ligase DTX3, transcript variant X1","gonad"
"LOC115107184",16.7055776591439,-0.0107371665688722,0.19010513290588,-3.32796240523594,0.000874836713571811,0.0198139917538992,"monocarboxylate transporter 12-B-like","gonad"
"LOC115142474",159.319961744051,-0.0107882501703792,0.116965946071983,-0.0922543128825389,0.926495986546641,0.972191826282108,"ATP-dependent RNA helicase DDX39A","gonad"
"LOC115143939",120.843394860254,-0.0108617673206136,0.0990708051422254,-0.109622521345199,0.9127087488497,0.965220299646875,"proline-rich protein 12-like","gonad"
"LOC115120622",14.6535942505402,-0.010881491666395,0.185888650329733,-0.058544000476983,0.953315315261784,0.981643625147631,"protocadherin Fat 2-like","gonad"
"LOCNA.2376",23.4112443490877,-0.0108908174729433,0.186781009427072,-0.0583346132492483,0.95348209706178,0.981643625147631,NA,"gonad"
"LOC115104283",55.821796253645,-0.0109981895799885,0.122315161688329,-0.0899129268826509,0.928356408594792,0.972913981159225,"ubiquitin carboxyl-terminal hydrolase 43-like","gonad"
"LOC115118779",159.436675409575,-0.0110403696272192,0.120447490351858,-0.0916429788190163,0.926981702946284,0.972270456172818,"carnitine O-acetyltransferase-like","gonad"
"LOC115136391",16.815082331162,-0.011051190311067,0.142140461596942,-0.0777753673230627,0.938006741110558,0.976352925988224,"claudin-like protein ZF-A89","gonad"
"LOC115106999",15.5426088185912,-0.0110580299347242,0.164967399294338,-0.0670045854126525,0.946578052775041,0.978798694056397,"DENN domain-containing protein 5B-like, transcript variant X9","gonad"
"LOC115101933",20.2385128702788,-0.0110697180023451,0.164764476914337,-0.067122516688436,0.946484168591463,0.978798694056397,"uncharacterized LOC115101933, transcript variant X1","gonad"
"LOC115106852",16.4002720092019,-0.0111230156699569,0.179751706826461,-0.061783775230244,0.950735024291672,0.980865558624136,"protein phosphatase 1H-like","gonad"
"LOC115135363",689.200665508293,-0.0111312688359428,0.11070963944302,-0.100544496547498,0.919912058652554,0.969257961748712,"kinesin light chain 1-like, transcript variant X1","gonad"
"LOC115114298",15.6906292701004,-0.0111779655203474,0.190900633948194,-0.0586567152085943,0.953225536200853,0.981635151354932,"calreticulin-like, transcript variant X2","gonad"
"LOC115111882",28.3364445827383,-0.0111949764632522,0.145492004302189,-0.0769321972429023,0.938677483744599,0.976526229748592,"ATP-binding cassette sub-family A member 2-like, transcript variant X8","gonad"
"LOC115145104",38.2464779095691,-0.0112139023051066,0.13835224678803,-0.0810335263276335,0.935415290013177,0.975603884131067,"tripartite motif-containing protein 16-like","gonad"
"LOC115139084",14.2415885884129,-0.0112393100276969,0.174478102645295,-0.064316219052364,0.948718439256261,0.97955088321704,"VPS10 domain-containing receptor SorCS2-like","gonad"
"LOC115102013",23.1105422176869,-0.0112428597856032,0.190750581177677,-0.0588998959401256,0.953031840937159,0.981532832178362,"uridine-cytidine kinase-like 1, transcript variant X4","gonad"
"LOC115147112",61.0518337687645,-0.0112494403515884,0.144403351884896,-0.0779095072820049,0.937900036683444,0.976352925988224,"TBC1 domain family member 13-like","gonad"
"LOC115109101",44.8264975691387,-0.0112730079754826,0.142124819788611,-0.0793005043947806,0.936793605117748,0.976230548170565,"dual specificity protein phosphatase CDC14AB-like, transcript variant X2","gonad"
"LOC115112512",51.8841874525592,-0.0113144926617762,0.188031296369248,-0.0601819450094077,0.9520107254426,0.981278508158822,"sodium- and chloride-dependent glycine transporter 2-like","gonad"
"LOC115141872",19.5901563046451,-0.011338600149628,0.170292612119554,-0.0665104344197753,0.946971450639982,0.978798694056397,"protein NPAT-like, transcript variant X2","gonad"
"LOC115137111",26.4597141364368,-0.0114186432821446,0.170282700153773,-0.0670883925103608,0.946511334511389,0.978798694056397,"porphobilinogen deaminase-like","gonad"
"LOC115135711",50.9360144672728,-0.0114354870698784,0.137464334533765,-0.0831885801826791,0.93370159295917,0.975019066132157,"acetyl-CoA carboxylase, transcript variant X1","gonad"
"LOC115145103",25.2162682442769,-0.0114592642635608,0.166159718693596,-0.0688877585818838,0.945078962607485,0.978674878696895,"F-box/LRR-repeat protein 5-like, transcript variant X1","gonad"
"LOCNA.942",20.8042958240117,-0.0114711798765303,0.165598443825965,-0.0693025397391698,0.944748804180938,0.978642374174524,NA,"gonad"
"LOC115111415",28.7546954739778,-0.0114859563733559,0.175070574412213,-0.0655321817012838,0.947750284103882,0.979139111991745,"tyrosine-protein kinase JAK2-like, transcript variant X1","gonad"
"LOC115141635",34.8155640991277,-0.0114991967883118,0.134840113276566,-0.0852795248013479,0.932039169067251,0.974551972294903,"atypical kinase COQ8B, mitochondrial-like","gonad"
"LOC115121635",23.6307720064144,-0.0115025848986934,0.19919444213588,-0.0577523163648016,0.953945920769501,0.981782152982736,"ubiquitin-conjugating enzyme E2 L3-like, transcript variant X1","gonad"
"LOC115110007",467.977603362768,-0.0115561108015468,0.147433683762,-0.0783782814543157,0.937527149264688,0.976337787554967,"uncharacterized LOC115110007, transcript variant X2","gonad"
"LOC115116436",735.608551537785,-0.0115720960460318,0.10354257724559,-0.111762848640472,0.911011445405139,0.964698264543729,"syntenin-1-like","gonad"
"LOC115134610",80.312110560821,-0.0115942989115664,0.169686564837971,-0.0683252458486684,0.945526727803424,0.978763863489932,"LHFPL tetraspan subfamily member 6 protein-like, transcript variant X1","gonad"
"LOC115113311",54.1478303649362,-0.0116622249642975,0.118576603872942,-0.0983312273456254,0.921669282493168,0.970083816787556,"protein YIPF3-like, transcript variant X3","gonad"
"LOC115113140",117.062956160986,-0.0116634933821665,0.105980916798701,-0.110042121327306,0.912375969750336,0.96507675477474,"zinc transporter 6-like, transcript variant X1","gonad"
"LOC115112326",30.2994661480822,-0.0116718174405422,0.142021769371513,-0.0822417103183791,0.934454505728924,0.975300450558044,"glucose-fructose oxidoreductase domain-containing protein 2-like, transcript variant X3","gonad"
"LOC115108287",88.1888683260114,-0.0116845670324908,0.0994616006807261,-0.117493408344357,0.906469067245443,0.961783693168916,"E3 ubiquitin-protein ligase RNF126-like","gonad"
"LOC115103336",21.4527292453348,-0.0117643648670878,0.17494903788767,-0.0672056897425754,0.946417955608198,0.978798694056397,"tyrosine-protein kinase JAK1-like, transcript variant X2","gonad"
"LOC115145433",25.0554906430153,-0.0118208190931754,0.155546153689277,-0.0760107999578501,0.939410505933728,0.976776713768612,"zona pellucida sperm-binding protein 3-like, transcript variant X1","gonad"
"LOC115143853",316.657577265238,-0.0118215885357972,0.0869479352697177,-0.135966766431165,0.891847553480887,0.954769144269416,"ubiquitin-conjugating enzyme E2 variant 1-like, transcript variant X1","gonad"
"LOC115140697",18.152741578541,-0.0118450049714282,0.192644931461856,-0.0613775715493064,0.951058513987678,0.980912551324674,"phosphoglucomutase-like protein 5","gonad"
"LOC115144050",510.63170107576,-0.0119136079227709,0.171454964402401,-0.069480994104131,0.944606760595895,0.978642374174524,"lysosomal acid lipase/cholesteryl ester hydrolase-like, transcript variant X2","gonad"
"LOC115109573",74.0647308889458,-0.0119232994452983,0.136827872912649,-0.0871599216500147,0.930544395963786,0.973849452140291,"protein C19orf12 homolog","gonad"
"LOC115140583",17.1972054169835,-0.0119260640262718,0.203807623046018,-0.0584659900987127,0.953377452105058,0.981643625147631,"eukaryotic translation initiation factor 4E-binding protein 2-like","gonad"
"LOC115110548",74.8295792843583,-0.0119327552431741,0.155021095268714,-0.0769832450816754,0.938636873896142,0.976526229748592,"sphingosine 1-phosphate receptor 2-like, transcript variant X3","gonad"
"LOC115140473",103.700067365703,-0.0120212036417787,0.13025855928708,-0.0922830792701449,0.926473131784607,0.972191826282108,"osteopetrosis-associated transmembrane protein 1-like, transcript variant X5","gonad"
