"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115143888",251.262759210741,0.123825546193973,0.119791229121199,0.0471874127661162,0.286567589625268,"26S proteasome non-ATPase regulatory subunit 11B-like","liver"
"kiaa1143",67.4765570664368,0.123695065224142,0.112097546596863,0.0461108497569444,0.282819213828447,"KIAA1143 ortholog","liver"
"mrps30",61.4409153947836,0.123678690543571,0.173775245562277,0.0352118787266003,0.254153401201062,"mitochondrial ribosomal protein S30","liver"
"LOC115108426",47.675981928114,0.12360482997577,0.126856044351969,0.0469716837838852,0.286117614907964,"FAS-associated factor 1-like, transcript variant X2","liver"
"LOC115102534",40.4310511243118,0.12351964376416,0.136728545920406,0.0453791454417653,0.280502914456079,"coatomer subunit zeta-1-like, transcript variant X1","liver"
"tmem120a",110.090580201521,0.123125337765551,0.134342258747286,0.0477595043307255,0.287780321719612,"transmembrane protein 120A","liver"
"LOC115107535",2862.4172705146,0.122969123776532,0.234286040717594,0.0146932915505446,0.17917564599217,"complement C1q-like protein 4, transcript variant X2","liver"
"msmb",8606.03818048327,0.122921256574659,0.211117690600599,0.0216793454713713,0.208165960087351,"microseminoprotein beta","liver"
"LOC115132544",40.354748085055,0.12238079510892,0.137704392053551,0.0472014918460208,0.286567589625268,"ragulator complex protein LAMTOR5-like","liver"
"LOC115129236",58.687377884551,0.122262916191424,0.119947779905229,0.0487029396520904,0.290673147225901,"calcium-binding protein 39-like, transcript variant X1","liver"
"LOC115105717",70.9248113841685,0.122212398498907,0.104065040319049,0.0461165054990873,0.282819213828447,"ras-related GTP-binding protein A, transcript variant X1","liver"
"LOC115134202",69.8219524344388,0.122090785736225,0.129068537990778,0.0489172942645833,0.290758456775754,"calumenin-B-like, transcript variant X2","liver"
