"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description","treatment"
"LOC115106206",648.983707817008,0.469475609185971,0.358973438345457,1.30782826537203,0.190931564836718,0.486229707126527,"C-reactive protein-like","liver"
"LOC115111478",57.7200190832153,0.467577458377844,0.178273787589424,2.62280543146761,0.0087209060308918,0.132142799189275,"small nuclear ribonucleoprotein Sm D3, transcript variant X1","liver"
"LOC115104196",106.875930269911,0.466256266395673,0.131710570899325,3.54000641871079,0.000400117300497082,0.0453021699118363,"SUMO-conjugating enzyme UBC9-B, transcript variant X2","liver"
"LOC115105520",72.370640434349,0.465558649732453,0.302198713932244,1.54057124755612,0.123421170171052,0.406024769666833,"GTPase Era, mitochondrial, transcript variant X1","liver"
"tubd1",61.9928494757998,0.465373436872607,0.654514671121285,0.711020634686997,0.477071448992586,0.733165339596777,"tubulin delta 1, transcript variant X2","liver"
"LOC115132965",1411.1986056771,0.464789358734294,0.241339662790308,1.92587224727389,0.0541203275366685,0.286514561701916,"sodium-coupled neutral amino acid transporter 4-like, transcript variant X2","liver"
"LOC115132995",1251.02889875504,0.463989652077983,0.177211933932523,2.61827542751526,0.00883754409648661,0.132438555289874,"ribose-phosphate pyrophosphokinase 2-like, transcript variant X1","liver"
"anapc16",283.993417182409,0.463853769635266,0.130177226469822,3.5632482133332,0.000366294025885155,0.0439121896914086,"anaphase promoting complex subunit 16","liver"
"LOC115121896",83.8215562505802,0.463623285879605,0.13231501525657,3.50393555093198,0.000458436292862373,0.0455752763343179,"vacuolar protein sorting-associated protein 29, transcript variant X2","liver"
"LOC115101839",107.729593374061,0.462667914875162,0.460754640210637,1.00415248051251,0.315305122738651,0.602661842208894,"RNA-binding Raly-like protein, transcript variant X1","liver"
"LOC115128493",159.376965607875,0.460760798711609,0.204075042086307,2.2578008266035,0.0239580796734934,0.196485176557664,"thioredoxin-interacting protein-like","liver"
"LOC115110978",1606.54115977384,0.459932530426646,0.148145663189531,3.10459665524078,0.00190538661518742,0.0697568551543798,"cytochrome c oxidase subunit 7C, mitochondrial-like","liver"
"LOC115110656",73.048111008013,0.457927820937298,0.135195639358931,3.38714934230642,0.000706229330442153,0.0481713045786873,"SEC14-like protein 1, transcript variant X2","liver"
"LOC115119183",101.811365475874,0.457855352663054,0.163940655412102,2.79281152995351,0.00522521262854813,0.104916091989961,"hydroxyacylglutathione hydrolase, mitochondrial-like","liver"
"LOC115130168",79.3505986534603,0.45741828880174,0.203019521271978,2.25307539854235,0.0242543953441125,0.19732717649222,"gamma-glutamyl hydrolase-like, transcript variant X1","liver"
"LOC115130904",2324.90113174701,0.456827406335476,0.23400128412292,1.9522431598944,0.0509093422459015,0.280793611629627,"ribonuclease-like 3","liver"
"LOC115122065",1827.40724230252,0.455389257324024,0.232738390093861,1.95665724567558,0.0503877797220577,0.279429374349806,"complement C1q-like protein 2","liver"
"LOC115102234",65.4824515960026,0.454773717998237,0.187513206313217,2.42528900731715,0.0152962042883285,0.1640570739487,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial-like","liver"
"LOC115123117",128.074863955727,0.453434641044685,0.194472365858855,2.33161477232082,0.0197209659923267,0.179507590461535,"nucleus accumbens-associated protein 2-like, transcript variant X1","liver"
"LOC115114211",842.194092606941,0.452740757909438,0.156536229972625,2.89224263283083,0.00382502424326788,0.0960013657626239,"40S ribosomal protein S28","liver"
"LOC115102139",713.10469079888,0.452586856031741,0.157258980847311,2.87797144298663,0.00400241368912367,0.0963575161214815,"nascent polypeptide-associated complex subunit alpha-like, transcript variant X1","liver"
"LOC115143133",99.9748570895589,0.452194730655506,0.217215637459665,2.08177797852825,0.0373627541172673,0.238699977714704,"CD302 antigen-like","liver"
"LOC115131775",1336.90479125622,0.452035360821651,0.138960588429765,3.25297529270412,0.00114203426710012,0.0583029327147352,"40S ribosomal protein S27","liver"
"LOC115129029",66.222080311856,0.450882777827678,0.159385948691508,2.82887407283539,0.00467120751345394,0.101066948221879,"thioredoxin-like protein 4A","liver"
"rpl21",2497.11887369325,0.450171288497869,0.22010853795441,2.04522410934877,0.0408327686335786,0.251032224661337,"ribosomal protein L21, transcript variant X1","liver"
"LOC115144376",328.080197415305,0.447582185679248,0.161739817478603,2.76729745746411,0.0056523155801584,0.110199492030588,"cytochrome c oxidase assembly protein COX14 homolog","liver"
"LOC115130426",111.030801602674,0.446097955347507,0.177549641528757,2.51252523804873,0.0119870530649325,0.153195161527194,"cytochrome b5-like","liver"
"LOC115110573",625.768082777852,0.444341440152407,0.205212818949415,2.16527136280866,0.0303669100900228,0.219820045082932,"choline transporter-like protein 2, transcript variant X3","liver"
"ppib",695.686723511688,0.444129762982281,0.195841774398726,2.26779891239164,0.0233414657377399,0.193767442661971,"peptidylprolyl isomerase B","liver"
"LOC115145882",67.8220315411759,0.444004833448075,0.14160804905456,3.13544912462572,0.00171591188138856,0.0681612429796539,"MICOS complex subunit Mic10-like","liver"
"LOC115131685",550.960139459047,0.443428376905587,0.197616014494909,2.24388887732077,0.0248395519713201,0.19969627975365,"elongation factor 1-alpha-like","liver"
"LOC115135730",1117.09692256009,0.442618914737374,0.167629985747724,2.64045190222408,0.0082795544062757,0.128715122624365,"60S ribosomal protein L36a","liver"
"LOC115127027",76.2552127985313,0.441946825163672,0.179760884896274,2.45852608824598,0.0139508640119573,0.160631982239373,"ferritin, heavy subunit-like","liver"
"LOC115103393",1627.87356249413,0.44156678490025,0.257588984849123,1.71423007532286,0.0864864794219748,0.351114432394392,"pancreatic alpha-amylase-like","liver"
"ndufb3",301.818280216943,0.44003909224515,0.149049657150973,2.95229858730525,0.00315417767122186,0.0893500245510657,"NADH:ubiquinone oxidoreductase subunit B3","liver"
"LOC115126009",252.464003404165,0.439119866976775,0.127718519985761,3.43818474427774,0.000585628005459406,0.0466002202580085,"ATP synthase F(0) complex subunit B1, mitochondrial-like","liver"
"ten1",89.7092195592681,0.438899035548427,0.204281698596347,2.1484990508899,0.0316741317086992,0.223887153799012,"TEN1 subunit of CST complex","liver"
"LOC115140758",171.694610596652,0.438548801460632,0.135797708477127,3.22942711168429,0.00124038495043551,0.0594443493954234,"tumor necrosis factor receptor superfamily member 1A-like, transcript variant X3","liver"
"LOC115138170",325.028728089755,0.437880703855937,0.144193797317189,3.03675131665138,0.0023914266245787,0.0775679555557622,"ependymin-like","liver"
"LOC115106857",205.699491937676,0.437455558429843,0.236478716554431,1.84987285453722,0.0643318771901899,0.31007206519367,"cysteine-rich with EGF-like domain protein 2, transcript variant X1","liver"
"LOC115117228",12862.3128120475,0.437051818536981,0.168395851921987,2.59538351775705,0.00944854233624072,0.136568292774884,"gamma-aminobutyric acid type B receptor subunit 2-like, transcript variant X1","liver"
"LOC115122735",72.5743582095092,0.436961984507051,0.181697356251061,2.40488906125456,0.0161773759502451,0.166512586801008,"surfeit locus protein 4-like","liver"
"LOC115125102",117.704189547147,0.436853309494564,0.182834465123102,2.38933785925116,0.0168787723570817,0.169452896865677,"translation machinery-associated protein 7","liver"
"LOC115101889",433.897330527425,0.436582203923242,0.345203254862709,1.26471056623402,0.20597510085548,0.504236943595758,"apolipoprotein C-II-like","liver"
"LOC115142321",89.2864026483266,0.436085923390016,0.145500924514366,2.9971350686982,0.00272529935168698,0.0833243093755297,"MAP kinase-activated protein kinase 2-like","liver"
"LOC115102205",485.663604983162,0.435965511300003,0.143361518849703,3.04102185020138,0.00235776719900559,0.077505024494435,"60S ribosomal protein L22","liver"
"LOC115123317",75.3482378700743,0.434678600440657,0.131906008277775,3.29536619382256,0.000982935010706394,0.0553773240995705,"cytochrome c, transcript variant X1","liver"
"LOC115141923",120.258379745092,0.433735480057391,0.205356380548429,2.11211104762875,0.034676925642672,0.233239519669193,"tsukushin-like, transcript variant X4","liver"
"LOC115123309",139.920766314597,0.433309164401887,0.186790033219485,2.31976597965874,0.0203535403855421,0.181137621422423,"transcription factor jun-B-like, transcript variant X2","liver"
